Dish Name,Cuisine,Cooking Time(min),Ingredients,Recipe Steps,Tips
Butter Chicken,India,45,"Chicken, Butter, Cream, Tomatoes, Spices, Ginger, Garlic",1. Marinate chicken. 2. Grill pieces. 3. Prepare tomato-butter gravy. 4. Add cream and simmer.,Use ripe tomatoes for best color.
Amritsari Kulcha,India,25,"Maida, Potato, Spices, Ghee",1. Knead dough. 2. Stuff potato mix. 3. Roll and cook in tandoor.,Brush with butter after cooking.
Dal Makhani,India,60,"Black urad dal, Rajma, Butter, Cream, Tomatoes",1. Pressure cook dal. 2. Prepare tomato gravy. 3. Slow cook with butter.,Cook on low heat for smoky flavor.
Chole Bhature,India,50,"Chickpeas, Flour, Spices, Curd",1. Cook chole. 2. Knead bhature dough. 3. Fry bhature.,Add tea bag while boiling chole for color.
Sarson ka Saag,India,45,"Mustard leaves, Spinach, Makki flour, Spices",1. Cook greens. 2. Mash. 3. Temper with ghee.,Serve with Makki roti.
Tandoori Chicken,India,50,"Chicken, Hung curd, Tandoori masala",1. Marinate chicken. 2. Grill in oven/tandoor.,Add mustard oil for authentic flavor.
Paneer Tikka,India,20,"Paneer, Curd, Spices, Capsicum",1. Marinate paneer. 2. Grill skewers.,Use thick curd to avoid dripping.
Paneer Butter Masala,India,35,"Paneer, Tomato, Cream, Butter, Spices",1. Make tomato gravy. 2. Add paneer and simmer.,Do not overcook paneer.
Rajma Chawal,India,40,"Kidney beans, Tomatoes, Spices",1. Cook rajma. 2. Prepare gravy. 3. Combine.,Soak rajma overnight.
Aloo Paratha,India,20,"Wheat flour, Potato, Spices",1. Stuff dough. 2. Roll and roast.,Use ghee for best taste.
Gajar ka Halwa,India,45,"Carrot, Milk, Sugar, Ghee, Nuts",1. Cook grated carrots in milk. 2. Add sugar. 3. Add ghee.,Use red winter carrots if possible.
Pindi Chole,India,40,"Chickpeas, Spices, Tea bag",1. Boil chole. 2. Add spices.,Dry roast spices for flavor.
Dal Baati Churma,India,60,"Wheat flour, Ghee, Dal, Jaggery",1. Make baati. 2. Cook dal. 3. Prepare churma.,Dip hot baatis in ghee.
Gatte ki Sabzi,India,35,"Gram flour, Yogurt, Spices",1. Make gatte. 2. Cook in yogurt gravy.,Ensure curd does not curdle.
Ker Sangri,India,30,"Ker, Sangri, Spices",1. Boil ker-sangri. 2. Stir fry.,Use mustard oil.
Laal Maas,India,45,"Mutton, Red chillies, Yogurt",1. Marinate. 2. Slow cook.,Use Mathania chillies.
Papad ki Sabzi,India,15,"Papad, Curd, Spices",1. Break papad. 2. Cook in curd gravy.,Add papad only at end.
Ghevar,India,60,"Flour, Sugar, Ghee",1. Prepare batter. 2. Fry in ghee. 3. Add sugar syrup.,Use mold for shape.
Rajasthani Kadhi,India,25,"Curd, Gram flour, Spices",1. Mix curd. 2. Cook with spices.,Whisk well to avoid lumps.
Mawa Kachori,India,40,"Kachori dough, Mawa, Sugar syrup",1. Stuff. 2. Fry. 3. Dip in syrup.,Seal edges tightly.
Rogan Josh,India,50,"Mutton, Yogurt, Kashmiri chilli",1. Cook mutton. 2. Add spices.,Use Kashmiri chilli for color.
Yakhni,India,45,"Mutton, Yogurt, Fennel",1. Cook mutton in spiced yogurt broth.,Keep flame low.
Dum Aloo Kashmiri,India,30,"Baby potatoes, Yogurt, Spices",1. Fry potatoes. 2. Add yogurt.,Prick potatoes before frying.
Modur Pulao,India,25,"Rice, Saffron, Dry fruits",1. Cook rice with saffron and sugar.,Don't over-sweeten.
Goshtaba,India,60,"Minced meat, Yogurt, Spices",1. Make meatballs. 2. Cook in yogurt gravy.,Knead meat thoroughly.
Rista,India,60,"Minced meat, Spices",1. Prepare red gravy. 2. Add meatballs.,Use wooden hammer to pound meat.
Haak,India,30,"Kashmiri greens, Spices",1. Boil greens. 2. Add spices.,Do not overcook.
Sheermal,India,30,"Flour, Milk, Saffron",1. Knead dough. 2. Bake.,Add saffron milk at end.
Awadhi Biryani,India,60,"Rice, Meat, Spices, Saffron",1. Parboil rice. 2. Layer with meat. 3. Dum.,Seal pot with dough.
Galouti Kebab,India,25,"Mutton mince, Spices, Ghee",1. Marinate. 2. Pan fry.,Use stone-ground spices.
Kakori Kebab,India,25,"Mutton mince, Spices",1. Skewer & grill.,Keep mixture very soft.
Nihari,India,90,"Meat, Bone marrow, Spices",1. Slow cook.,Cook overnight for best taste.
Bedmi Poori,India,30,"Wheat flour, Urad dal, Spices",1. Stuff dal paste. 2. Fry.,Serve with potato curry.
Aloo Tamatar Sabzi,India,20,"Potatoes, Tomatoes, Spices",1. Boil potatoes. 2. Make gravy.,Add ghee for aroma.
Mathura Peda,India,60,"Milk, Sugar, Ghee",1. Reduce milk. 2. Add sugar.,Slow reduction gives best taste.
Tehri,India,30,"Rice, Vegetables, Spices",1. Saute veggies. 2. Add rice and cook.,Use mustard oil for authentic flavor.
Banarasi Tamatar Chaat,India,20,"Tomatoes, Spices, Ghee",1. Cook tomatoes in ghee. 2. Add masala.,Serve hot with sev.
Malpua,India,30,"Flour, Sugar, Milk, Fennel",1. Make batter. 2. Fry. 3. Dip in syrup.,Serve with rabri.
Siddu,India,45,"Wheat dough, Walnut filling",1. Stuff dough. 2. Steam.,Serve with ghee.
Chha Gosht,India,45,"Mutton, Curd, Spices",1. Fry mutton. 2. Cook in curd gravy.,Use mustard oil.
Madra,India,35,"Chickpeas, Yogurt, Spices",1. Cook chickpeas. 2. Add yogurt gravy.,Keep flame low.
Kafuli,India,25,"Spinach, Fenugreek, Spices",1. Grind greens. 2. Cook with spices.,Use mustard oil.
Gahat Dal,India,30,"Gahat lentils, Spices",1. Boil lentils. 2. Add tempering.,Cook in iron pan.
Aloo ke Gutke,India,20,"Potatoes, Spices",1. Fry potatoes. 2. Add spices.,Serve with roti.
Bal Mithai,India,60,"Khoya, Sugar, Sugar balls",1. Cook khoya. 2. Add sugar.,Cool completely before cutting.
Arsa,India,30,"Rice flour, Jaggery",1. Make dough. 2. Fry.,Use fresh jaggery.
Thukpa (North),India,30,"Noodles, Vegetables, Chicken",1. Prepare broth. 2. Add noodles.,Use homemade stock.
Babru,India,25,"Flour, Black gram paste",1. Stuff dough. 2. Fry.,Serve hot.
Idli,India,20,"Rice batter, Urad dal",1. Steam batter.,Fermented batter gives softness.
Dosa,India,15,"Rice batter, Urad dal",1. Spread batter. 2. Roast.,Use cast iron tawa.
Sambar,India,30,"Dal, Vegetables, Tamarind",1. Cook dal. 2. Add veggies & tamarind.,Add ghee at end.
Rasam,India,15,"Tamarind, Tomatoes, Spices",1. Boil tamarind. 2. Add spices.,Use fresh rasam powder.
Pongal,India,20,"Rice, Dal, Ghee, Pepper",1. Cook dal & rice. 2. Temper.,Use plenty of ghee.
Kothu Parotta,India,25,"Parotta, Eggs/Chicken, Spices",1. Tear parotta. 2. Cook with masala.,Use iron pan.
Chicken Chettinad,India,40,"Chicken, Spices, Coconut",1. Make masala. 2. Cook chicken.,Roast spices well.
Kuzhi Paniyaram,India,15,"Idli batter, Spices",1. Cook in paniyaram mould.,Add onions for flavor.
Lemon Rice,India,10,"Rice, Lemon, Peanuts",1. Temper spices. 2. Mix rice.,Use leftover rice.
Curd Rice,India,10,"Rice, Curd, Tempering",1. Mix curd & rice. 2. Add tadka.,Use chilled curd.
Murukku,India,30,"Rice flour, Urad flour",1. Make dough. 2. Fry.,Use coconut oil for crispiness.
Adai,India,20,"Mixed lentils, Rice",1. Soak lentils. 2. Grind. 3. Cook.,Serve with jaggery.
Kerala Parotta,India,30,"Maida, Oil, Milk",1. Knead. 2. Roll layers. 3. Cook.,Rest dough well for softness.
Beef Fry,India,40,"Beef, Coconut, Spices",1. Pressure cook beef. 2. Fry.,Use coconut oil.
Appam,India,15,"Rice batter, Coconut milk",1. Ferment batter. 2. Cook.,Tilt pan for lace edges.
Fish Moilee,India,25,"Fish, Coconut milk, Spices",1. Fry fish lightly. 2. Cook in coconut gravy.,Do not overcook fish.
Kerala Sadya,India,60,"Assorted vegetables, Coconut",1. Prepare dishes. 2. Serve on banana leaf.,Serve hot.
Avial,India,30,"Mixed vegetables, Coconut paste",1. Cook veggies. 2. Add coconut.,Add coconut oil at end.
Thoran,India,15,"Vegetables, Coconut, Mustard",1. Stir fry veggies with coconut.,Keep flame medium.
Prawn Roast,India,20,"Prawns, Spices, Coconut oil",1. Marinate. 2. Cook.,Don't overcook prawns.
Malabar Biryani,India,45,"Rice, Chicken/Mutton, Spices",1. Prepare masala. 2. Layer rice.,Use Jeerakasala rice.
Kappa & Meen Curry,India,30,"Tapioca, Fish, Spices",1. Boil kappa. 2. Make fish curry.,Use coconut oil.
Bisi Bele Bath,India,40,"Rice, Dal, Vegetables, Spices",1. Cook rice & dal. 2. Prepare masala. 3. Combine.,Use fresh Bisi Bele masala.
Mysore Masala Dosa,India,20,"Dosa batter, Potato masala",1. Make dosa. 2. Add masala filling.,Use cast-iron tawa.
Ragi Mudde,India,10,"Ragi flour, Water, Salt",1. Cook flour in water. 2. Roll into balls.,Serve with sambar.
Mysore Pak,India,25,"Gram flour, Ghee, Sugar",1. Cook sugar syrup. 2. Add besan-ghee mix.,Use generous ghee.
Kesari Bath,India,15,"Semolina, Sugar, Saffron",1. Roast semolina. 2. Add syrup.,Add pineapple for variation.
Neer Dosa,India,10,"Rice batter, Salt",1. Make thin batter. 2. Cook.,Use non-stick pan.
Kundapura Chicken,India,45,"Chicken, Coconut, Spices",1. Make masala. 2. Cook chicken.,Use coconut oil.
Udupi Sambar,India,30,"Dal, Vegetables, Jaggery",1. Cook dal. 2. Add veggies & spices.,Use jaggery lightly.
Maddur Vada,India,20,"Flour, Onion, Spices",1. Make dough. 2. Fry.,Do not over-knead.
